2020-09-06 15:12:37,613 semantic_segmentation INFO: Using 1 GPUs
2020-09-06 15:12:37,614 semantic_segmentation INFO: Namespace(aux=False, aux_weight=0.4, backbone='resnet101', base_size=520, batch_size=4, crop_size=480, dataset='ade20k', device='cuda', distributed=False, epochs=160, jpu=False, local_rank=0, log_dir='../runs/logs/', log_iter=10, lr=0.0001, model='danet', momentum=0.9, no_cuda=False, num_gpus=1, poison_rate=0.1, resume=None, save_dir='~/.torch/models', save_epoch=10, skip_val=False, start_epoch=0, use_ohem=False, val_backdoor=False, val_backdoor_target=False, val_epoch=1, val_only=False, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=0)
2020-09-06 15:12:43,908 semantic_segmentation INFO: Start training, Total Epochs: 160 = Total Iterations 808320
2020-09-06 15:12:51,807 semantic_segmentation INFO: Iters: 10/808320 || Lr: 0.000100 || Loss: 4.8090 || Cost Time: 0:00:07 || Estimated Time: 7 days, 9:21:45
2020-09-06 15:12:55,194 semantic_segmentation INFO: Iters: 20/808320 || Lr: 0.000100 || Loss: 4.2362 || Cost Time: 0:00:11 || Estimated Time: 5 days, 6:41:50
2020-09-06 15:12:58,466 semantic_segmentation INFO: Iters: 30/808320 || Lr: 0.000100 || Loss: 4.2889 || Cost Time: 0:00:14 || Estimated Time: 4 days, 12:56:58
2020-09-06 15:13:01,757 semantic_segmentation INFO: Iters: 40/808320 || Lr: 0.000100 || Loss: 2.6849 || Cost Time: 0:00:17 || Estimated Time: 4 days, 4:11:25
2020-09-06 15:13:05,128 semantic_segmentation INFO: Iters: 50/808320 || Lr: 0.000100 || Loss: 3.4025 || Cost Time: 0:00:21 || Estimated Time: 3 days, 23:16:45
2020-09-06 15:13:08,348 semantic_segmentation INFO: Iters: 60/808320 || Lr: 0.000100 || Loss: 3.0445 || Cost Time: 0:00:24 || Estimated Time: 3 days, 19:27:06
2020-09-06 15:13:11,564 semantic_segmentation INFO: Iters: 70/808320 || Lr: 0.000100 || Loss: 2.2653 || Cost Time: 0:00:27 || Estimated Time: 3 days, 16:41:59
2020-09-06 15:13:14,855 semantic_segmentation INFO: Iters: 80/808320 || Lr: 0.000100 || Loss: 2.7070 || Cost Time: 0:00:30 || Estimated Time: 3 days, 14:50:49
2020-09-06 15:13:18,098 semantic_segmentation INFO: Iters: 90/808320 || Lr: 0.000100 || Loss: 2.3040 || Cost Time: 0:00:34 || Estimated Time: 3 days, 13:17:22
2020-09-06 15:13:21,362 semantic_segmentation INFO: Iters: 100/808320 || Lr: 0.000100 || Loss: 3.1378 || Cost Time: 0:00:37 || Estimated Time: 3 days, 12:05:04
2020-09-06 15:13:24,461 semantic_segmentation INFO: Iters: 110/808320 || Lr: 0.000100 || Loss: 2.2088 || Cost Time: 0:00:40 || Estimated Time: 3 days, 10:45:50
2020-09-06 15:13:27,778 semantic_segmentation INFO: Iters: 120/808320 || Lr: 0.000100 || Loss: 4.0033 || Cost Time: 0:00:43 || Estimated Time: 3 days, 10:04:21
2020-09-06 15:13:31,108 semantic_segmentation INFO: Iters: 130/808320 || Lr: 0.000100 || Loss: 2.2766 || Cost Time: 0:00:47 || Estimated Time: 3 days, 9:30:29
2020-09-06 15:13:34,485 semantic_segmentation INFO: Iters: 140/808320 || Lr: 0.000100 || Loss: 2.4569 || Cost Time: 0:00:50 || Estimated Time: 3 days, 9:06:04
2020-09-06 15:13:37,985 semantic_segmentation INFO: Iters: 150/808320 || Lr: 0.000100 || Loss: 2.2992 || Cost Time: 0:00:54 || Estimated Time: 3 days, 8:55:53
