2020-09-09 22:46:49,265 semantic_segmentation INFO: Using 1 GPUs
2020-09-09 22:46:49,265 semantic_segmentation INFO: Namespace(alpha=0.0, attack_method='semantic', aux=False, aux_weight=0.4, backbone='resnet101', base_size=520, batch_size=4, crop_size=480, dataset='ade20k', device='cuda', distributed=False, epochs=160, jpu=False, local_rank=0, log_dir='../runs/logs/', log_iter=10, lr=0.0001, model='danet', momentum=0.9, no_cuda=False, num_gpus=1, poison_rate=0.0, resume=None, save_dir='~/.torch/models', save_epoch=10, semantic_a=0, semantic_b=12, skip_val=False, start_epoch=0, test_semantic_mode='car_with_sky', use_ohem=False, val_backdoor=False, val_backdoor_target=False, val_epoch=1, val_only=False, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=0)
2020-09-09 22:46:57,986 semantic_segmentation INFO: Start training, Total Epochs: 160 = Total Iterations 808320
2020-09-09 22:47:07,465 semantic_segmentation INFO: Iters: 10/808320 || Lr: 0.000100 || Loss: 4.9489 || Cost Time: 0:00:09 || Estimated Time: 8 days, 20:49:48
2020-09-09 22:47:11,032 semantic_segmentation INFO: Iters: 20/808320 || Lr: 0.000100 || Loss: 4.0467 || Cost Time: 0:00:13 || Estimated Time: 6 days, 2:27:03
2020-09-09 22:47:14,196 semantic_segmentation INFO: Iters: 30/808320 || Lr: 0.000100 || Loss: 3.2232 || Cost Time: 0:00:16 || Estimated Time: 5 days, 1:18:57
2020-09-09 22:47:17,522 semantic_segmentation INFO: Iters: 40/808320 || Lr: 0.000100 || Loss: 3.6027 || Cost Time: 0:00:19 || Estimated Time: 4 days, 13:39:18
2020-09-09 22:47:20,913 semantic_segmentation INFO: Iters: 50/808320 || Lr: 0.000100 || Loss: 3.2884 || Cost Time: 0:00:22 || Estimated Time: 4 days, 6:57:00
2020-09-09 22:47:24,689 semantic_segmentation INFO: Iters: 60/808320 || Lr: 0.000100 || Loss: 2.8384 || Cost Time: 0:00:26 || Estimated Time: 4 days, 3:55:13
2020-09-09 22:47:28,126 semantic_segmentation INFO: Iters: 70/808320 || Lr: 0.000100 || Loss: 1.5116 || Cost Time: 0:00:30 || Estimated Time: 4 days, 0:40:10
2020-09-09 22:47:31,732 semantic_segmentation INFO: Iters: 80/808320 || Lr: 0.000100 || Loss: 3.7070 || Cost Time: 0:00:33 || Estimated Time: 3 days, 22:42:12
2020-09-09 22:47:35,233 semantic_segmentation INFO: Iters: 90/808320 || Lr: 0.000100 || Loss: 2.6325 || Cost Time: 0:00:37 || Estimated Time: 3 days, 20:54:46
2020-09-09 22:47:39,241 semantic_segmentation INFO: Iters: 100/808320 || Lr: 0.000100 || Loss: 1.5449 || Cost Time: 0:00:41 || Estimated Time: 3 days, 20:37:09
2020-09-09 22:47:43,033 semantic_segmentation INFO: Iters: 110/808320 || Lr: 0.000100 || Loss: 2.5737 || Cost Time: 0:00:45 || Estimated Time: 3 days, 19:56:16
