2020-09-07 20:47:06,900 semantic_segmentation INFO: Using 1 GPUs
2020-09-07 20:47:06,900 semantic_segmentation INFO: Namespace(alpha=0.05, aux=False, aux_weight=0.4, backbone='resnet101', base_size=520, batch_size=4, crop_size=480, dataset='pascal_voc', device='cuda', distributed=False, epochs=150, jpu=False, local_rank=0, log_dir='../runs/logs/', log_iter=10, lr=0.0001, model='deeplabv3', momentum=0.9, no_cuda=False, num_gpus=1, poison_rate=0.1, resume=None, save_dir='~/.torch/models', save_epoch=10, skip_val=False, start_epoch=0, use_ohem=False, val_backdoor=False, val_backdoor_target=False, val_epoch=1, val_only=False, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=0)
2020-09-07 20:47:11,417 semantic_segmentation INFO: Start training, Total Epochs: 150 = Total Iterations 54900
2020-09-07 20:47:18,421 semantic_segmentation INFO: Iters: 10/54900 || Lr: 0.000100 || Loss: 3.0014 || Cost Time: 0:00:07 || Estimated Time: 10:40:44
2020-09-07 20:47:20,760 semantic_segmentation INFO: Iters: 20/54900 || Lr: 0.000100 || Loss: 2.2928 || Cost Time: 0:00:09 || Estimated Time: 7:07:10
2020-09-07 20:47:23,015 semantic_segmentation INFO: Iters: 30/54900 || Lr: 0.000100 || Loss: 1.8595 || Cost Time: 0:00:11 || Estimated Time: 5:53:27
2020-09-07 20:47:25,273 semantic_segmentation INFO: Iters: 40/54900 || Lr: 0.000100 || Loss: 1.3748 || Cost Time: 0:00:13 || Estimated Time: 5:16:39
2020-09-07 20:47:27,573 semantic_segmentation INFO: Iters: 50/54900 || Lr: 0.000100 || Loss: 1.6193 || Cost Time: 0:00:16 || Estimated Time: 4:55:21
2020-09-07 20:47:29,790 semantic_segmentation INFO: Iters: 60/54900 || Lr: 0.000100 || Loss: 0.7599 || Cost Time: 0:00:18 || Estimated Time: 4:39:50
2020-09-07 20:47:32,194 semantic_segmentation INFO: Iters: 70/54900 || Lr: 0.000100 || Loss: 1.5737 || Cost Time: 0:00:20 || Estimated Time: 4:31:12
2020-09-07 20:47:34,505 semantic_segmentation INFO: Iters: 80/54900 || Lr: 0.000100 || Loss: 2.5399 || Cost Time: 0:00:23 || Estimated Time: 4:23:40
2020-09-07 20:47:37,164 semantic_segmentation INFO: Iters: 90/54900 || Lr: 0.000100 || Loss: 1.1559 || Cost Time: 0:00:25 || Estimated Time: 4:21:19
2020-09-07 20:47:39,775 semantic_segmentation INFO: Iters: 100/54900 || Lr: 0.000100 || Loss: 1.2799 || Cost Time: 0:00:28 || Estimated Time: 4:18:59
2020-09-07 20:47:42,598 semantic_segmentation INFO: Iters: 110/54900 || Lr: 0.000100 || Loss: 2.1687 || Cost Time: 0:00:31 || Estimated Time: 4:18:50
2020-09-07 20:47:45,354 semantic_segmentation INFO: Iters: 120/54900 || Lr: 0.000100 || Loss: 1.1153 || Cost Time: 0:00:33 || Estimated Time: 4:18:12
2020-09-07 20:47:48,116 semantic_segmentation INFO: Iters: 130/54900 || Lr: 0.000100 || Loss: 1.2710 || Cost Time: 0:00:36 || Estimated Time: 4:17:41
2020-09-07 20:47:50,937 semantic_segmentation INFO: Iters: 140/54900 || Lr: 0.000100 || Loss: 1.0462 || Cost Time: 0:00:39 || Estimated Time: 4:17:37
2020-09-07 20:47:53,680 semantic_segmentation INFO: Iters: 150/54900 || Lr: 0.000100 || Loss: 0.6730 || Cost Time: 0:00:42 || Estimated Time: 4:17:05
2020-09-07 20:47:56,456 semantic_segmentation INFO: Iters: 160/54900 || Lr: 0.000100 || Loss: 0.8474 || Cost Time: 0:00:45 || Estimated Time: 4:16:48
2020-09-07 20:47:59,202 semantic_segmentation INFO: Iters: 170/54900 || Lr: 0.000100 || Loss: 1.8463 || Cost Time: 0:00:47 || Estimated Time: 4:16:23
2020-09-07 20:48:01,882 semantic_segmentation INFO: Iters: 180/54900 || Lr: 0.000100 || Loss: 1.4556 || Cost Time: 0:00:50 || Estimated Time: 4:15:41
2020-09-07 20:48:04,638 semantic_segmentation INFO: Iters: 190/54900 || Lr: 0.000100 || Loss: 1.2489 || Cost Time: 0:00:53 || Estimated Time: 4:15:24
2020-09-07 20:48:07,295 semantic_segmentation INFO: Iters: 200/54900 || Lr: 0.000100 || Loss: 1.3589 || Cost Time: 0:00:55 || Estimated Time: 4:14:42
2020-09-07 20:48:10,034 semantic_segmentation INFO: Iters: 210/54900 || Lr: 0.000100 || Loss: 1.3275 || Cost Time: 0:00:58 || Estimated Time: 4:14:25
2020-09-07 20:48:12,823 semantic_segmentation INFO: Iters: 220/54900 || Lr: 0.000100 || Loss: 0.5820 || Cost Time: 0:01:01 || Estimated Time: 4:14:21
2020-09-07 20:48:15,728 semantic_segmentation INFO: Iters: 230/54900 || Lr: 0.000100 || Loss: 0.8828 || Cost Time: 0:01:04 || Estimated Time: 4:14:46
2020-09-07 20:48:18,562 semantic_segmentation INFO: Iters: 240/54900 || Lr: 0.000100 || Loss: 0.6488 || Cost Time: 0:01:07 || Estimated Time: 4:14:52
